thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
38,0,38,up,1,0.5283867,None,0,3.985185185,1.547252,38,0,38,0,163.6392806,,,,,163.6204885,163.6392806,164.6231482,164.6362201,165.1537284,up,1,0.5283867,None,0,165.156809,165.1693464,165.1693464,166.7200125,3.985185185,1.547252,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
39,0,39,up,0,0.5857306,None,-1,5,1.2802729,39,0,39,0,166.7389655,,,,,166.7202614,166.7389655,167.7226063,167.7359683,168.3202189,up,0,0.5857306,None,-1,168.3233842,168.3358504,168.3358504,169.6198289,5,1.2802729,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
40,0,40,up,1,0.5947356,None,0,5,1.1333003,40,0,40,0,169.6385449,,,,,169.6200599,169.6385449,170.6220588,170.6355941,171.2189654,up,1,0.5947356,None,0,171.2200151,171.2355734,171.2355734,172.3694046,5,1.1333003,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
41,0,41,down,1,0.7244157,None,6,5,1.3790914,41,0,41,0,172.3883615,,,,,172.3696093,172.3883615,173.3718912,173.3855337,174.1033904,down,1,0.7244157,None,6,174.1069969,174.1186025,174.1186025,175.5028118,5,1.3790914,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
42,0,42,up,1,0.6412302,None,0,4.011111111,1.5624044,42,0,42,0,175.5211946,,,,,175.503071,175.5211946,176.5057377,176.5186847,177.1527458,up,1,0.6412302,None,0,177.156747,177.1683843,177.1683843,178.73562,4.011111111,1.5624044,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
43,0,43,up,1,0.7532114,None,0,5,1.1291728,43,0,43,0,178.7544997,,,,,178.7358498,178.7544997,179.7381249,179.7514705,180.5022729,up,1,0.7532114,None,0,180.5059908,180.5179603,180.5179603,181.652007,5,1.1291728,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
44,0,44,down,1,0.6651017,None,6,5,2.2457487,44,0,44,0,181.6707427,,,,,181.652317,181.6707427,182.6547959,182.6682279,183.3355571,down,1,0.6651017,None,6,183.3395942,183.3510164,183.3510164,185.6014714,5,2.2457487,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
45,0,45,up,1,1.1142381,None,0,5,1.2310658,45,0,45,0,185.6204339,,,,,185.6017059,185.6204339,186.604297,186.6177077,187.7342409,up,1,1.1142381,None,0,187.7373436,187.7501558,187.7501558,188.9845441,5,1.2310658,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
46,0,46,up,1,0.6750169,None,0,5,1.5957099,46,0,46,0,189.0034436,,,,,188.9847589,189.0034436,189.9871916,190.0008076,190.6683373,up,1,0.6750169,None,0,190.672376,190.6835868,190.6835868,192.283907,5,1.5957099,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
47,0,47,down,1,1.1408542,None,-10,5,1.4787774,47,0,47,0,192.3034369,,,,,192.2841279,192.3034369,193.2868154,193.3003771,194.4346532,down,1,1.1408542,None,-10,194.4385717,194.4500017,194.4500017,195.9338179,5,1.4787774,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
48,0,48,up,1,0.886735,None,0,5,1.4456822,48,0,48,0,195.9528725,,,,,195.9340422,195.9528725,196.9362339,196.9497528,197.8340948,up,1,0.886735,None,0,197.837985,197.8495018,197.8495018,199.3001911,5,1.4456822,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
49,0,49,up,0,0.6946105,None,0,5,1.7958146,49,0,49,0,199.3190478,,,,,199.300407,199.3190478,200.302563,200.3159667,201.0000484,up,0,0.6946105,None,0,201.0041703,201.0158483,201.0158483,202.8164763,5,1.7958146,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
50,0,50,up,1,0.7973461,None,0,5,1.1962127,50,0,50,0,202.8356818,,,,,202.816705,202.8356818,203.8189779,203.83264,204.6335849,up,1,0.7973461,None,0,204.6374914,204.649107,204.649107,205.8493581,5,1.1962127,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
51,0,51,up,1,0.8210266,None,0,5,1.2458938,51,0,51,0,205.8683857,,,,,205.8495727,205.8683857,206.8521506,206.8655809,207.6833309,up,1,0.8210266,None,0,207.6872423,207.6985554,207.6985554,208.9491104,5,1.2458938,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
52,0,52,up,0,0.6936175,None,-2,5,1.3114536,52,0,52,0,208.9680057,,,,,208.9493125,208.9680057,209.9520512,209.9648995,210.649706,up,0,0.6936175,None,-2,210.6549872,210.6647497,210.6647497,211.9821196,5,1.3114536,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
53,0,53,up,0,0.561903,None,1,5,1.2444683,53,0,53,0,212.0009853,,,,,211.9823768,212.0009853,212.9848215,212.9980968,213.5495151,up,0,0.561903,None,1,213.5544347,213.5645373,213.5645373,214.8153401,5,1.2444683,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
54,0,54,down,1,0.6235056,None,-6,4.081481481,1.5460917,54,0,54,0,214.8342305,,,,,214.8155445,214.8342305,215.8183245,215.8313314,216.4488595,down,1,0.6235056,None,-6,216.4525338,216.4642884,216.4642884,218.0149214,4.081481481,1.5460917,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
55,0,55,up,0,0.6453157,None,-1,5,1.1798124,55,0,55,0,218.0342805,,,,,218.0151484,218.0342805,219.0172756,219.0307386,219.6652666,up,0,0.6453157,None,-1,219.6687195,219.6808163,219.6808163,220.8645934,5,1.1798124,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
56,0,56,down,1,0.7100387,None,-7,5,1.9941595,56,0,56,0,220.8840062,,,,,220.8648215,220.8840062,221.8670244,221.8808727,222.5817129,down,1,0.7100387,None,-7,222.5875354,222.5978692,222.5978692,224.597719,5,1.9941595,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
57,0,57,down,1,0.7792739,None,-3,5,1.1322294,57,0,57,0,224.6162193,,,,,224.5981105,224.6162193,225.6001972,225.613127,226.3800621,down,1,0.7792739,None,-3,226.3819802,226.3963031,226.3963031,227.5307697,5,1.1322294,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
58,0,58,up,0,0.6077605,None,-3,2.966666667,1.9655082,58,0,58,0,227.5490988,,,,,227.5310751,227.5490988,228.55012,228.5535994,229.1629875,up,0,0.6077605,None,-3,229.1650416,229.179322,229.179322,231.1469406,2.966666667,1.9655082,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
59,0,59,up,1,0.6391024,None,0,5,1.4468639,59,0,59,0,231.1660852,,,,,231.1471703,231.1660852,232.149382,232.162847,232.7967392,up,1,0.6391024,None,0,232.7997995,232.8127232,232.8127232,234.2633111,5,1.4468639,,,,,1,1,2025-11-08_22h57.57.186,solo project,,2025.1.1,60.01003368,2025-11-08 22h58.04.932069 +0530
