thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,Instructions.stopped,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
46,0,46,up,1,0.6575942999916151,None,0,5,1.014356300001964,46,0,46,0,173.50666929999716,,,,,173.48755679999886,173.50666929999716,174.48969280000892,174.50335860000632,175.1540939999977,up,1,0.6575942999916151,None,0,175.15715549999732,175.16979909999645,175.16979909999645,176.18706320000638,5,1.014356300001964,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
47,0,47,down,1,0.5950854999973672,None,-10,5,1.8101411999959964,47,0,47,0,176.2059886000061,,,,,176.18724060000386,176.2059886000061,177.189858800004,177.2032867000089,177.78806020000775,down,1,0.5950854999973672,None,-10,177.79366460000165,177.80522570000903,177.80522570000903,179.62058630000683,5,1.8101411999959964,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
48,0,48,up,1,0.6487246000033338,None,0,5,1.0654705999913858,48,0,48,0,179.63949820000562,,,,,179.62074399999983,179.63949820000562,180.62280130000727,180.63597909999953,181.28632330000983,up,1,0.6487246000033338,None,0,181.28832220000913,181.3026816000056,181.3026816000056,182.36999130000186,5,1.0654705999913858,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
49,0,49,up,1,0.7875331000104779,None,0,5,1.4456016000040108,49,0,49,0,182.3889485999971,,,,,182.37014790000103,182.3889485999971,183.37239299999783,183.3856792000006,184.170085500009,up,1,0.7875331000104779,None,0,184.1749542000034,184.18589780000912,184.18589780000912,185.63608389999717,5,1.4456016000040108,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
50,0,50,down,1,0.8305601000029128,None,6,4.025925925925926,1.997317400004249,50,0,50,0,185.6556746999995,,,,,185.63625930000853,185.6556746999995,186.6388697000075,186.65237720000732,187.4860664000007,down,1,0.8305601000029128,None,6,187.48955720000959,187.50207220000448,187.50207220000448,189.50251530000241,4.025925925925926,1.997317400004249,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
51,0,51,down,1,0.842203200008953,None,-5,5,0.9638756999920588,51,0,51,0,189.52136340001016,,,,,189.5027318000066,189.52136340001016,190.50483060000988,190.51861710000958,191.3522970000049,down,1,0.842203200008953,None,-5,191.35574990000168,191.36843499999668,191.36843499999668,192.33559650000825,5,0.9638756999920588,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
52,0,52,up,1,0.5544900000095367,None,0,5,2.145491499992204,52,0,52,0,192.3545085000078,,,,,192.3357765999972,192.3545085000078,193.33781710000767,193.3517692000023,193.9025483000005,up,1,0.5544900000095367,None,0,193.90734040000825,193.91801049999776,193.91801049999776,196.06882719999703,5,2.145491499992204,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
53,0,53,down,1,0.8707966999936616,None,-1,3.0074074074074075,2.162284999998519,53,0,53,0,196.08726460000616,,,,,196.06906470000104,196.08726460000616,197.07091019999643,197.08469550000154,197.95232029999897,down,1,0.8707966999936616,None,-1,197.95614249999926,197.96785960000125,197.96785960000125,200.1353567000042,3.0074074074074075,2.162284999998519,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
54,0,54,up,0,0.6656645000039134,None,0,5,1.1295931999920867,54,0,54,0,200.15382500000123,,,,,200.13552470000286,200.15382500000123,201.13724229999934,201.1508063000074,201.81851599999936,up,0,0.6656645000039134,None,0,201.82193240000925,201.83416399999987,201.83416399999987,202.9680531000049,5,1.1295931999920867,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
55,0,55,down,1,0.745127300004242,None,-2,4.011111111111111,2.3622273999935715,55,0,55,0,202.9868151999981,,,,,202.96829509999952,202.9868151999981,203.97042630000215,203.98394639999606,204.71904750000976,down,1,0.745127300004242,None,-2,204.72286670000176,204.7337625000073,204.7337625000073,207.10124430000724,4.011111111111111,2.3622273999935715,,,,,02,001,2025-11-10_11h02.20.670,solo project,,2025.1.1,60.07268795167799,2025-11-10 11h02.31.435204 +0530,
