pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,seq.thisRepN,seq.thisTrialN,seq.thisN,seq.thisIndex,ran.thisRepN,ran.thisTrialN,ran.thisN,ran.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,seq.key_resp.keys,seq.key_resp.corr,seq.key_resp.rt,seq.key_resp.duration,trial2.started,fixation2.started,lineA.started,lineB.started,lineC.started,lineD.started,fixation2.stopped,probe2.started,key_resp_2.started,trial2.stopped,ran.key_resp_2.keys,ran.key_resp_2.corr,ran.key_resp_2.rt,ran.key_resp_2.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
150,v,79,79,20,,,,,v,1,0.6734480999875814,None,,,,,20,79,79,1,776.9816740999813,,,,,,,,,,,,,,,,776.9666657999624,776.9816740999813,777.9817655999796,777.9817655999796,777.9817655999796,777.9817655999796,777.9817655999796,778.9816762999981,778.9816762999981,779.6659142999561,v,1,0.6734480999875814,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,80,80,17,,,,,x,1,0.8656372000114061,None,,,,,17,80,80,0,779.6815130999894,,,,,,,,,,,,,,,,779.6669074999518,779.6815130999894,780.6653030999587,780.6653030999587,780.6653030999587,780.6653030999587,780.6820443999604,781.6652324000024,781.6652324000024,782.5338417000021,x,1,0.8656372000114061,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
150,v,81,81,21,,,,,v,1,1.475097700022161,None,,,,,21,81,81,1,782.5487131999689,,,,,,,,,,,,,,,,782.5352808999596,782.5487131999689,783.5490542999469,783.5490542999469,783.5490542999469,783.5490542999469,783.5490542999469,784.5490561999613,784.5490561999613,786.0325706999865,v,1,1.475097700022161,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,82,82,23,,,,,c,1,0.8826135999988765,None,,,,,23,82,82,2,786.0488214999787,,,,,,,,,,,,,,,,786.0337470999802,786.0488214999787,787.0320406999672,787.0320406999672,787.0320406999672,787.0320406999672,787.048890999984,788.0320382999489,788.0320382999489,788.9162496999488,c,1,0.8826135999988765,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,83,83,18,,,,,x,1,1.305022899992764,None,,,,,18,83,83,0,788.9317795999814,,,,,,,,,,,,,,,,788.9174949000007,788.9317795999814,789.9318772999686,789.9318772999686,789.9318772999686,789.9318772999686,789.9318772999686,790.9313260999625,790.9313260999625,792.2495718999999,x,1,1.305022899992764,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-150,z,84,84,19,,,,,z,1,0.5211286999983713,None,,,,,19,84,84,3,792.2647765000002,,,,,,,,,,,,,,,,792.2507799000014,792.2647765000002,793.2648077999474,793.2648077999474,793.2648077999474,793.2648077999474,793.2648077999474,794.2642554999911,794.2642554999911,794.7986233999836,z,1,0.5211286999983713,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,85,85,19,,,,,x,1,0.7932736999937333,None,,,,,19,85,85,0,794.8142434999463,,,,,,,,,,,,,,,,794.7994962999946,794.8142434999463,795.7979096999625,795.7979096999625,795.7979096999625,795.7979096999625,795.8144777999842,796.8140652999864,796.8140652999864,797.6165508999838,x,1,0.7932736999937333,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
-50,x,86,86,20,,,,,x,1,0.7243511999840848,None,,,,,20,86,86,0,797.6308905999758,,,,,,,,,,,,,,,,797.6179826000007,797.6308905999758,798.6303246999742,798.6303246999742,798.6303246999742,798.6303246999742,798.6303246999742,799.6305162999779,799.6305162999779,800.365459099994,x,1,0.7243511999840848,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,87,87,24,,,,,c,1,1.0394061999977566,None,,,,,24,87,87,2,800.380914599984,,,,,,,,,,,,,,,,800.3667586999945,800.380914599984,801.3807035999489,801.3807035999489,801.3807035999489,801.3807035999489,801.3807035999489,802.3802470999653,802.3802470999653,803.4319892999483,c,1,1.0394061999977566,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
50,c,88,88,25,,,,,c,1,0.6106333999778144,None,,,,,25,88,88,2,803.4470224999823,,,,,,,,,,,,,,,,803.4330682999571,803.4470224999823,804.4470550999977,804.4470550999977,804.4470550999977,804.4470550999977,804.4470550999977,805.4468608999741,805.4468608999741,806.0644545999821,c,1,0.6106333999778144,None,02,001,2025-10-03_14h53.18.482,motorselection,,2025.1.1,60.01720092102189,2025-10-03 14h53.46.410391 +0530,
