imagefile,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,slider.response,slider.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,image.started,Fixation.stopped,image.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,rating.started,slider.started,text_2.started,rating.stopped,trials.slider.response,trials.slider.rt,Thankyou.started,text_3.started,text_3.stopped,Thankyou.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
D:\happyimage4.jpeg,25,11,1,down,1,0.6326468999031931,None,-4,5,1.3658228000858799,1,11,25,3,147.39900209999178,,,,,,,,,147.39182979997713,147.39900209999178,148.38194889994338,148.39577850000933,148.89469609991647,148.99557839997578,149.62879439990502,down,1,0.6326468999031931,None,-4,149.6304642999312,149.64477539993823,149.64477539993823,151.01231989997905,5,1.3658228000858799,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage6.jpeg,26,12,1,down,1,0.667947500012815,None,9,5,0.8624038000125438,1,12,26,5,151.0323914999608,,,,,,,,,151.014902099967,151.0323914999608,152.0151486999821,152.02879729995038,152.52818139991723,152.6117144000018,153.29568420001306,down,1,0.667947500012815,None,9,153.30008650000673,153.31151859997772,153.31151859997772,154.1789130999241,5,0.8624038000125438,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage3.jpeg,27,13,1,down,1,0.5808345000259578,None,-8,5,0.7633890000870451,1,13,27,2,154.1979462999152,,,,,,,,,154.18148909998126,154.1979462999152,155.1815069000004,155.1950927999569,155.69453489989974,155.79486669995822,156.3789408999728,down,1,0.5808345000259578,None,-8,156.38281599991024,156.39471329993103,156.39471329993103,157.16169159999117,5,0.7633890000870451,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage3.jpeg,28,0,2,down,1,0.36731669993605465,None,5,5,0.9130538000026718,2,0,28,2,157.1809202999575,,,,,,,,,157.1637907999102,157.1809202999575,158.16443629993591,158.1781597000081,158.67776240000967,158.76118959998712,159.14515989995562,down,1,0.36731669993605465,None,5,159.14882639993448,159.1610640999861,159.1610640999861,160.0787906999467,5,0.9130538000026718,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage2.jpeg,29,1,2,down,1,0.4352645999751985,None,9,5,0.8622082000365481,2,1,29,1,160.09774150000885,,,,,,,,,160.08113179996144,160.09774150000885,161.08125329995528,161.09447849995922,161.59419360000174,161.69438269990496,162.14534639997873,down,1,0.4352645999751985,None,9,162.1494418999646,162.1608423999278,162.1608423999278,163.02786209993064,5,0.8622082000365481,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage1.jpeg,30,2,2,up,1,0.537318899994716,None,0,2.988888888888889,2.1455585999647155,2,2,30,7,163.04740309994668,,,,,,,,,163.03061459993478,163.04740309994668,164.03071889991406,164.04441129998304,164.54367019992787,164.6440093999263,165.19488159997854,up,1,0.537318899994716,None,0,165.19873409997672,165.21038039994892,165.21038039994892,167.3608864999842,2.988888888888889,2.1455585999647155,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage1.jpeg,31,3,2,down,1,0.6066335999639705,None,4,4.011111111111111,2.7793070999905467,2,3,31,0,167.3803087999113,,,,,,,,,167.36319139995612,167.3803087999113,168.36343609995674,168.37687139993068,168.87655719998293,168.97678769996855,169.59424159990158,down,1,0.6066335999639705,None,4,169.5978450999828,169.6101348999655,169.6101348999655,172.39375359995756,4.011111111111111,2.7793070999905467,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage5.jpeg,32,4,2,up,1,0.8631305999588221,None,0,2.988888888888889,3.1302624999079853,2,4,32,11,172.41327469993848,,,,,,,,,172.39667649997864,172.41327469993848,173.3968181000091,173.41054259997327,173.90974429994822,174.00978520000353,174.87762929999735,up,1,0.8631305999588221,None,0,174.88110649993178,174.89309079991654,174.89309079991654,178.0262733999407,2.988888888888889,3.1302624999079853,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage5.jpeg,33,5,2,down,1,5.1362115000374615,None,6,5,2.7098605000646785,2,5,33,4,178.04536059999373,,,,,,,,,178.0285335999215,178.04536059999373,179.02940659993328,179.04268529999536,179.54218459990807,179.62572050001472,184.77689179999288,down,1,5.1362115000374615,None,6,184.7823280999437,184.79616509994958,184.79616509994958,187.50900399999227,5,2.7098605000646785,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\happyimage7.jpeg,34,6,2,down,1,0.7513786000199616,None,6,5,1.8632022999227047,2,6,34,6,187.5283203999279,,,,,,,,,187.51146810001228,187.5283203999279,188.51164359995164,188.5254216999747,189.02480619994458,189.12483559991233,189.8921480999561,down,1,0.7513786000199616,None,6,189.89557089994196,189.90816089999862,189.90816089999862,191.7751508000074,5,1.8632022999227047,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage4.jpg,35,7,2,up,0,0.8060075000394136,None,1,1.9851851851851852,2.285182800027542,2,7,35,10,192.116346099996,,,,,,,,,192.1000861999346,192.116346099996,192.77928319992498,193.12613069999497,193.29080949991476,193.3910232000053,194.20819179993123,up,0,0.8060075000394136,None,1,194.21129359991755,194.2241478000069,194.2241478000069,196.50827310001478,1.9851851851851852,2.285182800027542,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
D:\sadimage7.jpeg,36,8,2,up,1,0.9799370000837371,None,0,3.033333333333333,2.8809075000463054,2,8,36,13,196.5532103999285,,,,,,,,,196.52521469991188,196.5532103999285,197.5163951999275,197.55729579995386,198.02359210001305,198.12340059992857,199.10713739995845,up,1,0.9799370000837371,None,0,199.10977999994066,199.12323019991163,199.12323019991163,202.0075653999811,3.033333333333333,2.8809075000463054,,,,,emo04,001,2025-11-17_16h44.52.779,solo project_version2,,2025.1.1,59.721102441479964,2025-11-17 16h45.10.999511 +0530,
